Date,Spend,Conversions,Cost per Install
2019-11-17, 10.37,1, 10.37
2019-11-18, 10.96,2, 5.48
2019-11-19, 10.25,1, 10.25
2019-11-20, 25.64,2, 12.82
2019-11-21, 28.25,2, 14.12
2019-11-22, 32.33,3, 10.78
2019-11-23, 40.07,3, 13.36
2019-11-24, 26.37,3, 8.79
2019-11-25, 25.78,3, 8.59
2019-11-26, 22.6,3, 7.53
2019-11-27, 17.86,5, 3.57
2019-11-28, 57.07,5, 11.41
2019-11-29, 61.93,4, 15.48
2019-11-30, 80.45,8, 10.06
2019-12-01, 25.73,1, 25.73
2019-12-02, 54.85,4, 13.71
2019-12-03, 9.53,1, 9.53
2019-12-04, 54.85,1, 54.85
2019-12-05, 8.73,3, 2.91
2019-12-06, 17.78,4, 4.44
2019-12-07, 6.88,1, 6.88
2019-12-08, 85.94,4, 21.49
2019-12-09, 56.5,3, 18.83
2019-12-10, 63.12,1, 63.12
2019-12-11, 95.97,1, 95.97
2019-12-13, 0.09,1, 0.09
2019-12-15, 0.0,0, 0.00
2019-12-16, 0.0,0, 0.00
2019-12-17, 0.0,0, 0.00
2019-12-18, 0.0,0, 0.00
2019-12-19, 0.0,0, 0.00
2019-12-20, 0.0,0, 0.00
2019-12-21, 0.0,0, 0.00
2019-12-22, 22.38,0, 0.00
2019-12-23, 23.97,0, 0.00
2019-12-24, 20.8,1, 20.80
2019-12-25, 24.25,1, 24.25
2019-12-26, 0.0,0, 0.00
2019-12-27, 0.0,0, 0.00
2019-12-28, 22.13,1, 22.13
2019-12-29, 0.09,1, 0.09
2019-12-30, 0.0,0, 0.00
2019-12-31, 0.0,0, 0.00
2020-01-01, 0.0,0, 0.00
2020-01-02, 23.45,0, 0.00
2020-01-03, 0.0,0, 0.00
2020-01-04, 0.0,0, 0.00
2020-01-05, 0.09,1, 0.09
2020-01-06, 0.0,0, 0.00
2020-01-07, 0.18,2, 0.09
2020-01-08, 0.0,0, 0.00
2020-01-09, 0.0,0, 0.00
2020-01-10, 0.0,0, 0.00
2020-01-11, 0.0,0, 0.00
2020-01-12, 0.0,0, 0.00
2020-01-13, 0.0,0, 0.00
2020-01-14, 0.0,0, 0.00
2020-01-15, 0.0,0, 0.00
2020-01-16, 0.09,1, 0.09
2020-01-17, 0.0,0, 0.00
2020-01-18, 0.0,0, 0.00
2020-01-19, 0.0,0, 0.00
2020-01-20, 0.0,0, 0.00
2020-01-21, 0.18,1, 0.18
2020-01-22, 0.0,0, 0.00
2020-01-23, 0.0,0, 0.00
2020-01-24, 0.0,0, 0.00
2020-01-25, 0.0,0, 0.00
2020-01-26, 0.09,1, 0.09
2020-01-27, 0.0,0, 0.00
2020-01-28, 0.0,0, 0.00
2020-01-29, 0.0,0, 0.00
2020-01-30, 0.0,0, 0.00
2020-01-31, 0.0,0, 0.00
2020-02-01, 0.0,0, 0.00
2020-02-02, 0.0,0, 0.00
2020-02-03, 0.0,0, 0.00
